gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
BER.6.10,Monitoring von Zugangsdaten,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.2,Schlüssellänge,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.3,Verzeichnis öffentlicher Schlüssel,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.5,Kriterien für die Qualität von Zufallszahlen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.6,Etablierte Algorithmen beim Transport,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.7,Kein Transport privater Schlüssel,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.8,Etablierte Algorithmen bei der Schlüsselnutzung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.9,Zweckbindung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.12,Authentizität,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.16,Vorgaben für die Schlüsselbeglaubigung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.16.1,Zertifizierungsstelle,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.16.2,Beglaubigung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.16.3,Erneuerung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.16.4,Revocation,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.16.5,Beglaubigungsstatus,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BER.7.16.6,Revocationstatus,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.1.1,Verfahren und Regelungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.1.1.2,Zuweisung der Aufgaben,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.1.1.3,Bekanntgabe,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BES.1.2,Regelmäßige Überprüfung,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
